證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),外資總投資股率%,投信持股率%,自營持股率%
2330 台積電,1/2/2008,39.58,39.58,38.43,38.62,"38,970",394,"-8,824",-365,71.79,0.53,0.02
2330 台積電,1/3/2008,38.24,38.3,37.92,37.92,"34,838","-9,307",-804,482,71.76,0.52,0.02
2330 台積電,1/4/2008,37.86,38.56,37.34,38.3,"48,400","-6,802","-1,357",711,71.73,0.52,0.02
2330 台積電,1/7/2008,36.39,37.03,35.62,35.62,"103,229","-65,640","-5,021","-1,424",71.48,0.5,0.02
2330 台積電,1/8/2008,35.62,36.13,35.43,35.75,"47,333","-13,831",77,"-1,248",71.43,0.5,0.01
2330 台積電,1/9/2008,35.11,36.39,34.79,36.39,"45,113","-1,140",201,-694,71.43,0.5,0.01
2330 台積電,1/10/2008,36.39,36.64,35.3,35.56,"61,534","-27,065","1,169",764,71.32,0.51,0.01
2330 台積電,1/11/2008,35.81,35.81,34.92,35.11,"72,675","-23,453",-287,699,71.23,0.5,0.01
2330 台積電,1/14/2008,36.07,36.26,34.92,35.05,"78,262","-7,931",-39,655,71.2,0.5,0.02
2330 台積電,1/15/2008,35.37,36.96,35.24,36.71,"98,450","33,419",-618,"1,364",71.33,0.5,0.02
2330 台積電,1/16/2008,35.49,35.88,35.05,35.37,"78,668","-11,618","-1,317",719,71.29,0.5,0.02
2330 台積電,1/17/2008,35.49,36,34.79,34.92,"51,230","-18,707","1,160","1,175",71.22,0.5,0.03
2330 台積電,1/18/2008,34.47,35.05,34.03,34.86,"65,496","-19,082",281,-122,71.14,0.5,0.03
2330 台積電,1/21/2008,34.86,34.92,34.03,34.03,"42,792","-24,168","-2,712",-23,71.05,0.49,0.03
2330 台積電,1/22/2008,31.66,32.62,31.66,31.66,"87,258","-37,780",-124,-40,70.91,0.49,0.03
2330 台積電,1/23/2008,32.56,32.81,32.17,32.56,"78,326","28,927","-1,805","-1,477",71.02,0.48,0.02
2330 台積電,1/24/2008,34.79,34.79,33.9,34.28,"71,476","24,508","11,505",110,71.11,0.53,0.02
2330 台積電,1/25/2008,35.11,35.75,35.11,35.43,"50,414","10,161","2,771",347,71.15,0.54,0.02
2330 台積電,1/28/2008,35.37,35.37,34.47,34.6,"39,643","4,483",336,-716,71.17,0.54,0.02
2330 台積電,1/29/2008,35.68,36.39,35.49,36.39,"58,212","38,559",198,406,71.31,0.54,0.02
2330 台積電,1/30/2008,36.71,37.22,36.39,36.9,"110,696","38,869","1,103",614,71.46,0.54,0.02
2330 台積電,1/31/2008,36.71,38.24,36.58,38.24,"171,328","103,404",438,401,71.85,0.55,0.03
2330 台積電,2/1/2008,38.94,39.71,38.56,39.2,"134,709","90,112",-120,598,72.19,0.55,0.04
2330 台積電,2/12/2008,38.11,38.49,38.11,38.3,"103,197","16,243","-2,641",-201,72.25,0.54,0.04
2330 台積電,2/13/2008,38.94,38.94,38.24,38.24,"52,231","12,399","-3,630",-442,72.3,0.52,0.03
2330 台積電,2/14/2008,38.43,39.58,38.43,39.58,"106,487","19,442","2,432",-171,72.37,0.53,0.03
2330 台積電,2/15/2008,38.94,39.39,38.88,39.26,"30,297","1,259","1,067","1,122",72.38,0.54,0.04
2330 台積電,2/18/2008,39.26,39.45,38.11,38.3,"52,090","-6,790","-2,366",-314,72.35,0.53,0.04
2330 台積電,2/19/2008,38.81,39.26,38.3,39.26,"20,133","8,858",-486,-126,72.39,0.52,0.04
2330 台積電,2/20/2008,39.2,39.2,38.11,39,"41,015","-4,575",6,235,72.37,0.52,0.04
2330 台積電,2/21/2008,39.26,39.64,39,39.52,"40,472","23,793",-823,"1,321",72.46,0.52,0.04
2330 台積電,2/22/2008,38.88,38.94,38.37,38.88,"37,270","-15,123",158,949,72.4,0.52,0.05
2330 台積電,2/25/2008,38.94,39.26,38.69,39.07,"40,050",627,776,508,72.4,0.53,0.05
2330 台積電,2/26/2008,39.45,39.9,39.26,39.83,"69,612","30,493",358,"-1,251",72.52,0.53,0.04
2330 台積電,2/27/2008,40.09,40.6,40.03,40.6,"93,695","38,992",896,-637,72.67,0.53,0.04
2330 台積電,2/29/2008,39.96,40.54,39.32,39.32,"63,516","1,270","-1,555",-871,72.67,0.52,0.04
2330 台積電,3/3/2008,38.37,38.75,38.3,38.75,"47,078","-11,642",466,731,72.63,0.53,0.04
2330 台積電,3/4/2008,38.37,40.22,38.37,40.15,"75,215","19,324",-27,-954,72.7,0.53,0.04
2330 台積電,3/5/2008,40.54,40.54,39.9,40.41,"70,208","32,382","1,596",-339,72.82,0.53,0.04
2330 台積電,3/6/2008,40.54,41.43,40.54,41.43,"64,665","45,776","1,477",489,73,0.54,0.04
2330 台積電,3/7/2008,40.6,41.17,40.41,40.86,"53,049","5,365",207,"1,513",73.02,0.54,0.05
